Female	Male	Female&&Male	Experimental_Series_II	Experimental_Series_III	Experimental_Series_IV	Experimental_Series_V	Grain_Yield[Mg/ha]	Type
citr16686	malemixearly	citr16686&&malemixearly	0	0	0	1	9.503906294	Hybrid
citr16977	citr16977	citr16977	0	0	0	1	7.271971666	Line
citr16977	nordsaatmix	citr16977&&nordsaatmix	0	0	0	1	8.67861379	Hybrid
cleo	cleo	cleo	0	0	0	1	8.379014904	Line
cleo	nordsaatmix	cleo&&nordsaatmix	0	0	0	1	9.078297925	Hybrid
cltr16288	cltr16288	cltr16288	0	0	0	1	8.09623877	Line
cltr16288	malemixlate	cltr16288&&malemixlate	0	0	0	1	9.148243286	Hybrid
cltr16288	nordsaatmix	cltr16288&&nordsaatmix	0	0	0	1	8.96706827	Hybrid
cocagne	cocagne	cocagne	0	0	0	1	8.205629204	Line
cocagne	malemixearly	cocagne&&malemixearly	0	0	0	1	8.662659477	Hybrid
colonia	colonia	colonia	1	1	1	1	9.288196364	Line
comtal	comtal	comtal	0	0	0	1	7.348483377	Line
comtal	sur99820sur186	comtal&&sur99820sur186	0	0	0	1	8.79906694	Hybrid
copain	copain	copain	0	0	0	1	7.906043461	Line
copain	sur99820sur186	copain&&sur99820sur186	0	0	0	1	9.450716214	Hybrid
corin	corin	corin	0	0	0	1	8.117860185	Line
corin	nordsaatmix	corin&&nordsaatmix	0	0	0	1	9.013906588	Hybrid
damier	damier	damier	0	0	0	1	8.97408896	Line
damier	nordsaatmix	damier&&nordsaatmix	0	0	0	1	10.05391041	Hybrid
danubius	danubius	danubius	0	0	0	1	7.875139403	Line
danubius	nordsaatmix	danubius&&nordsaatmix	0	0	0	1	9.306571864	Hybrid
desamo	desamo	desamo	0	0	0	1	9.474789021	Line
desamo	nordsaatmix	desamo&&nordsaatmix	0	0	0	1	10.17885091	Hybrid
desamo	tri8280	desamo&&tri8280	0	0	0	1	9.333604104	Hybrid
deya	deya	deya	0	0	0	1	8.193427537	Line
deya	sur99820sur186	deya&&sur99820sur186	0	0	0	1	9.90097278	Hybrid
di09016	di09016	di09016	0	0	0	1	9.231145139	Line
di09016	sur99820sur186	di09016&&sur99820sur186	0	0	0	1	10.09099899	Hybrid
discus	discus	discus	0	0	0	1	8.71727034	Line
doka	doka	doka	0	0	0	1	7.851814866	Line
doka	malemixearly	doka&&malemixearly	0	0	0	1	8.903328984	Hybrid
dolomit	dolomit	dolomit	0	0	0	1	8.932036564	Line
donski93	donski93	donski93	0	0	0	1	8.059029843	Line
ducat	ducat	ducat	0	0	0	1	8.277759924	Line
ducat	nordsaatmix	ducat&&nordsaatmix	0	0	0	1	9.150866101	Hybrid
duellant	duellant	duellant	0	0	0	1	8.582629414	Line
duellant	malemixlate	duellant&&malemixlate	0	0	0	1	9.187036692	Hybrid
edward	edward	edward	0	0	0	1	9.267466399	Line
edward	nordsaatmix	edward&&nordsaatmix	0	0	0	1	10.0266224	Hybrid
elixer	910102	elixer&&910102	0	0	0	1	9.511017578	Hybrid
elixer	albatros	elixer&&albatros	0	0	0	1	8.852523807	Hybrid
elixer	bussard	elixer&&bussard	0	0	0	1	9.300008433	Hybrid
elixer	elixer	elixer	1	1	1	1	9.84915645	Line
elixer	luna	elixer&&luna	0	0	0	1	9.184479181	Hybrid
elixer	nordsaatmix	elixer&&nordsaatmix	0	0	0	1	10.22824879	Hybrid
elixer	tri10054	elixer&&tri10054	0	0	0	1	9.540118073	Hybrid
elixer	tri10124	elixer&&tri10124	0	0	0	1	8.70724722	Hybrid
elixer	tri10162iso	elixer&&tri10162iso	0	0	0	1	9.216733337	Hybrid
elixer	tri10181	elixer&&tri10181	0	0	0	1	9.254802703	Hybrid
elixer	tri10248	elixer&&tri10248	0	0	0	1	8.540250024	Hybrid
elixer	tri10384	elixer&&tri10384	0	0	0	1	8.69169629	Hybrid
elixer	tri10458iso	elixer&&tri10458iso	0	0	0	1	9.026313392	Hybrid
elixer	tri10878iso	elixer&&tri10878iso	0	0	0	1	9.007227438	Hybrid
elixer	tri11191	elixer&&tri11191	0	0	0	1	8.613466012	Hybrid
elixer	tri11210iso	elixer&&tri11210iso	0	0	0	1	9.439804855	Hybrid
elixer	tri11271	elixer&&tri11271	0	0	0	1	8.454663973	Hybrid
elixer	tri11273	elixer&&tri11273	0	0	0	1	9.134831603	Hybrid
elixer	tri11275iso	elixer&&tri11275iso	0	0	0	1	8.549691237	Hybrid
elixer	tri12918	elixer&&tri12918	0	0	0	1	8.708174835	Hybrid
elixer	tri12931	elixer&&tri12931	0	0	0	1	8.583169333	Hybrid
elixer	tri12965	elixer&&tri12965	0	0	0	1	8.676971108	Hybrid
elixer	tri13220	elixer&&tri13220	0	0	0	1	9.566771864	Hybrid
elixer	tri13305	elixer&&tri13305	0	0	0	1	8.532083899	Hybrid
elixer	tri13344	elixer&&tri13344	0	0	0	1	9.100182383	Hybrid
elixer	tri13509	elixer&&tri13509	0	0	0	1	8.444554549	Hybrid
elixer	tri13519	elixer&&tri13519	0	0	0	1	8.623755553	Hybrid
elixer	tri13692	elixer&&tri13692	0	0	0	1	8.458641946	Hybrid
elixer	tri14727iso	elixer&&tri14727iso	0	0	0	1	8.858776866	Hybrid
elixer	tri16013	elixer&&tri16013	0	0	0	1	8.833360003	Hybrid
elixer	tri16576	elixer&&tri16576	0	0	0	1	8.993191397	Hybrid
elixer	tri16701	elixer&&tri16701	0	0	0	1	8.525422559	Hybrid
elixer	tri19521	elixer&&tri19521	0	0	0	1	8.666192908	Hybrid
elixer	tri19594	elixer&&tri19594	0	0	0	1	8.740295423	Hybrid
elixer	tri19860	elixer&&tri19860	0	0	0	1	8.43967224	Hybrid
elixer	tri21284iso	elixer&&tri21284iso	0	0	0	1	9.576443974	Hybrid
elixer	tri21302iso	elixer&&tri21302iso	0	0	0	1	9.245703703	Hybrid
elixer	tri22371	elixer&&tri22371	0	0	0	1	8.928955123	Hybrid
elixer	tri22519iso	elixer&&tri22519iso	0	0	0	1	9.314519042	Hybrid
elixer	tri22527	elixer&&tri22527	0	0	0	1	8.418740388	Hybrid
elixer	tri23234	elixer&&tri23234	0	0	0	1	7.603955592	Hybrid
elixer	tri23308	elixer&&tri23308	0	0	0	1	8.950686603	Hybrid
elixer	tri23428	elixer&&tri23428	0	0	0	1	8.078194225	Hybrid
elixer	tri23924	elixer&&tri23924	0	0	0	1	8.718791661	Hybrid
elixer	tri252iso	elixer&&tri252iso	0	0	0	1	9.398057622	Hybrid
elixer	tri29467	elixer&&tri29467	0	0	0	1	8.936302041	Hybrid
elixer	tri3393	elixer&&tri3393	0	0	0	1	8.722768415	Hybrid
